               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.061196,            0.031645,                   0,             0.13938,             0.42308,             0.10355,            0.038254,            0.064868,            0.022508,                   0,           0.0099139,           0.0099139,           0.0099139
                  89,            0.057772,            0.025842,                   0,             0.13938,             0.42308,             0.10355,            0.038254,            0.064868,            0.022508,                   0,           0.0099129,           0.0099129,           0.0099129
                  90,            0.061018,             0.03501,                   0,             0.13938,             0.42308,             0.10355,            0.038254,            0.064868,            0.022508,                   0,           0.0099119,           0.0099119,           0.0099119
                  91,            0.061334,            0.025243,                   0,             0.18593,                 0.5,             0.13072,            0.053737,            0.064591,            0.021828,                   0,           0.0099109,           0.0099109,           0.0099109
                  92,            0.063605,            0.029316,                   0,             0.18593,                 0.5,             0.13072,            0.053737,            0.064591,            0.021828,                   0,           0.0099099,           0.0099099,           0.0099099
                  93,            0.056992,             0.02793,                   0,             0.23458,             0.46154,             0.15453,            0.061623,            0.069331,            0.020183,                   0,           0.0099089,           0.0099089,           0.0099089
                  94,            0.053114,            0.022738,                   0,             0.23458,             0.46154,             0.15453,            0.061623,            0.069331,            0.020183,                   0,           0.0099079,           0.0099079,           0.0099079
                  95,            0.053887,            0.025077,                   0,             0.23883,             0.42308,             0.12872,            0.050784,            0.069137,            0.019953,                   0,           0.0099069,           0.0099069,           0.0099069
                  96,            0.052774,            0.024001,                   0,             0.23883,             0.42308,             0.12872,            0.050784,            0.069137,            0.019953,                   0,            0.009906,            0.009906,            0.009906
                  97,            0.056415,            0.023197,                   0,             0.23883,             0.42308,             0.12872,            0.050784,            0.069137,            0.019953,                   0,            0.009905,            0.009905,            0.009905
                  98,            0.060515,            0.023693,                   0,             0.23447,             0.42308,             0.15383,            0.054755,            0.068401,             0.02001,                   0,            0.009904,            0.009904,            0.009904
                  99,            0.050878,            0.019738,                   0,             0.23447,             0.42308,             0.15383,            0.054755,            0.068401,             0.02001,                   0,            0.009903,            0.009903,            0.009903
