               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.020433,            0.013148,                   0,             0.89877,             0.63322,             0.73886,             0.51506,            0.032264,            0.020759,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.020544,            0.013497,                   0,             0.89344,             0.63961,             0.74719,             0.52916,            0.032521,             0.01984,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.020585,            0.012654,                   0,              0.9317,             0.62103,             0.72135,             0.51123,            0.032586,            0.021768,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.020343,            0.012524,                   0,             0.88896,             0.63809,             0.75659,             0.53645,            0.031188,            0.020479,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.019754,             0.01248,                   0,             0.85547,             0.65119,             0.74852,              0.5346,            0.031628,            0.021268,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.020939,            0.012648,                   0,             0.86146,             0.63961,             0.73116,             0.52826,            0.032111,            0.022579,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.020392,            0.012766,                   0,             0.89808,             0.62215,             0.74071,             0.52828,             0.03213,            0.021614,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,             0.02032,            0.012983,                   0,             0.90625,              0.6176,             0.73187,                0.53,            0.031863,              0.0219,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.021569,            0.013345,                   0,             0.87049,             0.64188,             0.74804,             0.53971,            0.031338,            0.021148,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.019497,            0.012137,                   0,             0.84338,             0.67006,             0.75098,             0.53959,            0.031792,            0.020969,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.019814,            0.012673,                   0,             0.88827,             0.64543,             0.74723,             0.53442,            0.031721,            0.021303,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.019554,             0.01222,                   0,             0.87797,             0.63322,              0.7359,             0.52465,             0.03179,             0.02168,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.019462,            0.012455,                   0,             0.90974,             0.61943,             0.72959,             0.52756,            0.031704,            0.022454,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.020506,            0.012699,                   0,             0.90122,             0.61611,             0.72916,             0.52586,            0.031755,            0.022465,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.019322,            0.012111,                   0,             0.91145,             0.59863,             0.71013,             0.51915,            0.031796,            0.023517,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.020462,            0.012691,                   0,              0.9129,             0.60698,             0.71454,             0.51639,            0.031953,            0.022531,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.020499,            0.012504,                   0,             0.89526,             0.62671,             0.71965,             0.52107,            0.031839,            0.022721,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.019695,            0.012542,                   0,             0.94025,             0.58574,             0.71216,             0.52118,            0.031766,            0.022893,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.019959,            0.012304,                   0,             0.85392,             0.64752,             0.73858,             0.53086,             0.03199,             0.02177,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.019373,            0.012134,                   0,             0.87356,             0.63954,             0.73219,             0.53677,            0.031078,            0.022425,                   0,           0.0090397,           0.0090397,           0.0090397
